rank_position,title,source,published_at,score,url,description,query
15,Streamex Corp. Reports Q1 2026 Financial Results and Announces Business & Quarterly Update Call,Streamex Corp,2026-05-14 22:01:22+00:00,0.5544058536932599,https://www.globenewswire.com/news-release/2026/05/14/3295482/22558/en/Streamex-Corp-Reports-Q1-2026-Financial-Results-and-Announces-Business-Quarterly-Update-Call.html,"WINTER PARK, Fla., May 14, 2026 (GLOBE NEWSWIRE) -- Streamex Corp. (“Streamex” or the “Company”) (NASDAQ: STEX), a technology company focused on the...",technology
16,Alienware releases new 15-inch gaming laptops with 165 Hz displays,Alex Alderson,2026-05-14 22:01:00+00:00,0.553748348399578,https://www.notebookcheck.net/Alienware-releases-new-15-inch-gaming-laptops-with-165-Hz-displays.1297063.0.html,"Alienware has released a new pair of 15-inch gaming laptops globally. Equipped with 165 Hz displays, the new Alienware 15 offers a choice of Nvidia GeForce RTX 50-series laptop GPUs, plus GeForce RTX 4050 and GeForce RTX 3050 as cheaper options.",technology
17,"I Drove Hyundai's Hydrogen-Fueled Nexo. It's Perfect, Just Not for the US",Antuan Goodwin,2026-05-14 22:00:35+00:00,0.5530052965923251,https://www.cnet.com/roadshow/news/i-drove-hyundai-nexo-hydrogen-fuel-suv/,"The hydrogen-powered SUV claims 435 miles of range, a 5-minute fill-up and a refined driving experience. Here's why FCEV technology is a perfect product operating in the wrong market.",technology
18,House bill making PRC ID valid for 5 years OKd on 2nd reading,Philippine News Agency,2026-05-14 21:54:00+00:00,0.5418171030232333,https://newsinfo.inquirer.net/2229215/house-bill-making-prc-id-valid-for-5-years-okd-on-2nd-reading,"MANILA, Philippines — The House of Representatives has approved on second reading a measure seeking to extend the validity of Professional Regulation Commission (PRC) identification cards to five",technology
19,Trump Bought Corporations’ Stock as His Administration Boosted Their Business,Samuel Larreal; Jackie Llanos,2026-05-14 21:51:16+00:00,0.5374573417175024,https://www.notus.org/money/donald-trump-stock-investments-palantir-axom-nvidia,New federal disclosures indicate the president went on a stock-buying spree in early 2026.,technology
20,After Silicon: The Technologies That Will Power the Next Era of Computing,Talal Ahmad,2026-05-14 21:48:45+00:00,0.533579908893013,https://dev.to/talal_ahm2d/after-silicon-the-technologies-that-will-power-the-next-era-of-computing-4p33,"From atomic-scale transistors to chips made of light — here is what comes after the 2nm revolution,...",technology
21,Army holds first Cybersecurity Summit at Fort Bragg with local partners,Unknown,2026-05-14 22:53:31+00:00,0.5028820483666927,https://abc11.com/post/army-holds-first-cybersecurity-summit-fort-bragg-local-partners/19101831/,"The summit brought together 14 agencies, including Duke Energy, Fayetteville Tech, and various military and civilian organizations.",technology
22,"Rancho Cordova's AI efforts supported by schools, tech companies",Unknown,2026-05-14 22:28:36+00:00,0.4150354760662009,https://www.bizjournals.com/sacramento/news/2026/05/14/rancho-cordova-artificial-intelligence-partners.html?ana=brss_1566,"Rancho Cordova held a “signing day”-themed event on Thursday with local technology employers, schools and workforce partners to highlight city efforts to focus on its future workforce by advancing artificial intelligence, technology and robotics.",technology
23,Apollo’s West Technology Is in Talks to Sell Remaining Business,Unknown,2026-05-14 22:25:05+00:00,0.40562992929394776,https://www.bloomberg.com/news/articles/2026-05-14/apollo-s-west-technology-is-in-talks-to-sell-remaining-business,"Apollo Global Management Inc.-backed West Technology is engaged in exclusive talks to sell its remaining operating business to a counter-party, according to people familiar with the matter.",technology
24,Rocket Lab Leads Space Rally With 57% Gain Following SpaceX IPO Report,The Motley Fool,2026-05-14 22:25:00+00:00,0.3654138561105023,https://www.nasdaq.com/articles/rocket-lab-leads-space-rally-57-gain-following-spacex-ipo-report,Key PointsSeveral space stocks have been on a rally over the past few weeks.,technology
25,Why Klarna Stock Triumphed on Thursday,The Motley Fool,2026-05-14 22:22:01+00:00,0.3578747186582246,https://www.nasdaq.com/articles/why-klarna-stock-triumphed-thursday,Key PointsIts first-quarter results reflected the increasing popularity of BNPL solutions.,technology
26,Here's Why I'd Sell Nebius Stock and Buy Astera Labs Instead,The Motley Fool,2026-05-14 22:20:00+00:00,0.35298581079647273,https://www.nasdaq.com/articles/heres-why-id-sell-nebius-stock-and-buy-astera-labs-instead,"Key PointsNebius may still be a real AI winner, but the stock already prices in years of near-perfect execution.",technology
